Time,Cores,Active
60100,large,0
60200,small,0
60200,medium,0
60200,large,0
60300,small,2
60300,medium,0
60300,large,3
60400,small,2
60400,medium,0
60400,large,3
60500,small,2
60500,medium,0
60500,large,3
60600,small,2
60600,medium,0
60600,large,3
60700,small,2
60700,medium,0
60700,large,3
60800,small,2
60800,medium,0
60800,large,3
60900,small,2
60900,medium,0
60900,large,3
61000,small,2
61000,medium,0
61000,large,3
61100,small,2
61100,medium,0
61100,large,3
61200,small,2
61200,medium,0
61200,large,2
61300,small,0
61300,medium,0
61300,large,0
61400,small,0
61400,medium,0
61400,large,0
61500,small,2
61500,medium,2
61500,large,2
61600,small,2
61600,medium,1
61600,large,2
61700,small,2
61700,medium,2
61700,large,2
61800,small,2
61800,medium,2
61800,large,2
61900,small,2
61900,medium,2
61900,large,2
62000,small,1
62000,medium,0
62000,large,3
62100,small,2
62100,medium,0
62100,large,3
62200,small,2
62200,medium,0
62200,large,3
62300,small,2
62300,medium,0
62300,large,3
62400,small,2
62400,medium,0
62400,large,3
62500,small,2
62500,medium,0
62500,large,3
62600,small,2
62600,medium,0
62600,large,3
62700,small,2
62700,medium,0
62700,large,3
62800,small,0
62800,medium,0
62800,large,0
62900,small,0
62900,medium,0
62900,large,0
63000,small,2
63000,medium,0
63000,large,3
63100,small,2
63100,medium,0
63100,large,3
63200,small,2
63200,medium,0
63200,large,3
63300,small,2
63300,medium,0
63300,large,3
63400,small,2
